coleta_local,barragem,medida_em,percent_use,vertido,comportas,montante_local_m,detalhe
2026-08-27 16:38,Barragem Oeste Taió,2026-08-27 16:28,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-27 16:38,Barragem Sul Ituporanga,2026-08-27 16:26,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-27 16:45,Barragem Oeste Taió,2026-08-27 16:38,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-27 16:45,Barragem Sul Ituporanga,2026-08-27 16:38,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-27 17:18,Barragem Oeste Taió,2026-08-27 17:08,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-27 17:18,Barragem Sul Ituporanga,2026-08-27 17:08,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 08:12,Barragem Oeste Taió,2026-08-28 08:08,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 08:12,Barragem Sul Ituporanga,2026-08-28 08:08,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 13:24,Barragem Oeste Taió,28/08 13:18,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 13:24,Barragem Sul Ituporanga,28/08 13:18,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 13:30,Barragem Oeste Taió,28/08 13:28,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 13:30,Barragem Sul Ituporanga,28/08 13:26,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 15:00,Barragem Oeste Taió,28/08 14:58,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 15:00,Barragem Sul Ituporanga,28/08 14:56,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 15:30,Barragem Oeste Taió,28/08 15:28,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 15:30,Barragem Sul Ituporanga,28/08 15:26,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 16:00,Barragem Oeste Taió,28/08 15:58,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 16:00,Barragem Sul Ituporanga,28/08 15:56,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 16:30,Barragem Oeste Taió,28/08 16:28,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 16:30,Barragem Sul Ituporanga,28/08 16:26,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 17:00,Barragem Oeste Taió,28/08 16:58,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 17:00,Barragem Sul Ituporanga,28/08 16:56,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 17:30,Barragem Oeste Taió,28/08 17:28,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 17:30,Barragem Sul Ituporanga,28/08 17:26,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 18:00,Barragem Oeste Taió,28/08 17:58,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 18:00,Barragem Sul Ituporanga,28/08 17:56,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 18:30,Barragem Oeste Taió,28/08 18:28,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 18:30,Barragem Sul Ituporanga,28/08 18:26,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 18:57,Barragem Oeste Taió,28/08 18:48,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 18:57,Barragem Sul Ituporanga,28/08 18:48,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 19:00,Barragem Oeste Taió,28/08 18:58,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 19:00,Barragem Sul Ituporanga,28/08 18:56,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 19:19,Barragem Oeste Taió,28/08 19:18,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 19:19,Barragem Sul Ituporanga,28/08 19:18,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 19:30,Barragem Oeste Taió,28/08 19:28,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 19:30,Barragem Sul Ituporanga,28/08 19:26,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 19:49,Barragem Oeste Taió,28/08 19:48,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 19:49,Barragem Sul Ituporanga,28/08 19:48,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 20:00,Barragem Oeste Taió,28/08 19:58,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 20:00,Barragem Sul Ituporanga,28/08 19:56,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 20:19,Barragem Oeste Taió,28/08 20:08,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 20:19,Barragem Sul Ituporanga,28/08 20:08,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
