coleta_local,medida_em,nivel_m_raw,fonte,obs
2026-08-31 17:18,31/08 17:04,6.25,Asthon Ponte Ricardo Kanitz,
2026-08-31 17:30,31/08 17:27,6.23,Asthon Ponte Ricardo Kanitz,
2026-08-31 18:00,31/08 17:42,6.19,Asthon Ponte Ricardo Kanitz,
2026-08-31 18:30,31/08 18:27,6.17,Asthon Ponte Ricardo Kanitz,
2026-08-31 19:00,31/08 18:56,6.18,Asthon Ponte Ricardo Kanitz,
2026-08-31 19:30,31/08 19:24,6.19,Asthon Ponte Ricardo Kanitz,
2026-08-31 20:00,31/08 19:56,6.21,Asthon Ponte Ricardo Kanitz,
2026-08-31 20:30,31/08 20:26,6.3,Asthon Ponte Ricardo Kanitz,
2026-08-31 21:00,31/08 20:58,6.36,Asthon Ponte Ricardo Kanitz,
2026-08-31 21:30,31/08 21:27,6.4,Asthon Ponte Ricardo Kanitz,
2026-08-31 22:00,31/08 21:55,6.52,Asthon Ponte Ricardo Kanitz,
2026-08-31 22:30,31/08 22:25,6.68,Asthon Ponte Ricardo Kanitz,
2026-08-31 23:00,31/08 22:44,6.77,Asthon Ponte Ricardo Kanitz,
2026-08-31 23:30,31/08 23:22,6.89,Asthon Ponte Ricardo Kanitz,
2026-09-01 00:00,31/08 23:58,7.0,Asthon Ponte Ricardo Kanitz,
2026-09-01 00:30,01/09 00:22,7.04,Asthon Ponte Ricardo Kanitz,
2026-09-01 01:00,01/09 00:58,7.09,Asthon Ponte Ricardo Kanitz,
2026-09-01 01:30,01/09 01:30,7.15,Asthon Ponte Ricardo Kanitz,
