coleta_local,dc_rs_m,sdc_00013_m,offset_medido_m,fonte,obs
2026-08-31 17:18,5.23,5.46,-0.23,DC-RS (Asthon Ponte Dom Tito),
2026-08-31 17:30,5.27,5.51,-0.24,DC-RS (Asthon Ponte Dom Tito),
2026-08-31 18:00,5.33,5.57,-0.24,DC-RS (Asthon Ponte Dom Tito),
2026-08-31 18:30,5.4,5.65,-0.25,DC-RS (Asthon Ponte Dom Tito),
2026-08-31 19:00,5.47,5.71,-0.24,DC-RS (Asthon Ponte Dom Tito),
2026-08-31 19:30,5.53,5.78,-0.25,DC-RS (Asthon Ponte Dom Tito),
2026-08-31 20:00,5.61,5.84,-0.23,DC-RS (Asthon Ponte Dom Tito),
2026-08-31 20:30,5.73,5.96,-0.23,DC-RS (Asthon Ponte Dom Tito),
2026-08-31 21:00,5.82,6.05,-0.23,DC-RS (Asthon Ponte Dom Tito),
2026-08-31 21:30,5.92,6.13,-0.21,DC-RS (Asthon Ponte Dom Tito),
2026-08-31 22:00,6.02,6.25,-0.23,DC-RS (Asthon Ponte Dom Tito),
2026-08-31 22:30,6.12,6.36,-0.24,DC-RS (Asthon Ponte Dom Tito),
2026-08-31 23:00,6.2,6.46,-0.26,DC-RS (Asthon Ponte Dom Tito),
2026-08-31 23:30,6.28,6.55,-0.27,DC-RS (Asthon Ponte Dom Tito),
2026-09-01 00:00,6.38,6.65,-0.27,DC-RS (Asthon Ponte Dom Tito),
2026-09-01 00:30,6.45,6.73,-0.28,DC-RS (Asthon Ponte Dom Tito),
2026-09-01 01:00,6.53,6.8,-0.27,DC-RS (Asthon Ponte Dom Tito),
2026-09-01 01:30,6.58,6.86,-0.28,DC-RS (Asthon Ponte Dom Tito),
2026-09-01 02:01,6.64,6.92,-0.28,DC-RS (Asthon Ponte Dom Tito),
2026-09-01 03:00,6.71,7.0,-0.29,DC-RS (Asthon Ponte Dom Tito),
2026-09-01 03:30,6.73,7.03,-0.3,DC-RS (Asthon Ponte Dom Tito),
2026-09-01 04:00,6.76,7.05,-0.29,DC-RS (Asthon Ponte Dom Tito),
